# patches_cauda_pb.txt -- o lote de correcoes de cauda de quadros P/B (plano 2) que entrou no patches.txt.
# Aplicado em 2026-09-24, aprovado pelo usuario: niveis A e B inteiros (475 linhas, 325 quadros).
# O verify pula este arquivo. mapa do filme inteiro antes/depois: so o quadro 2189 muda
# (erro em MB 7356 -> 7358; o quadro ja decodificava lixo antes da tarja e o decodificador
# dessincronizado le os 3 ultimos bytes, onde esta o bit corrigido).
# Gerado em 2026-09-24 por ferramentas/ancora/cauda_pb.py; censo em dados/censo_cauda_pb.txt,
# log em dados/cauda_pb.log.
#
# A tarja inferior de P/B e so skip (medido: 840/840 MBs nos 28 P/B do GOP 3319); o
# codificador (ancora_pb.c) recodifica as fileiras 62-67 com o codIRange de entrada e o
# ESTADO do contexto do skip como incognitas. Regras: distancia <= 2, todas as saidas
# distintas na distancia minima apontando os mesmos bits, cauda corrigida fechando com
# distancia 0 e sem violacao de escape. Controle: 60 caudas aleatorias ficam a 4-13.
#
# Censo dos 3.314 P/B: 2.541 com a cauda intacta (distancia 0), 330 com correcao certa,
# 440 sem correcao certa, 3 ambiguos. Fora desta proposta: 10, 11, 560, 970 e 1119, que
# tem enchimento no fim (o alinhamento pelo stop bit nao e confiavel ali). Dos 330, so o
# 10 decodifica inteiro hoje -- e e um dos excluidos.
#
# NIVEL A: distancia 0 (so o escape restaurado) ou 1.
# NIVEL B: distancia 2 -- controle aleatorio chegou a 4 uma vez em 60, margem menor.
#
# Colunas: offset bit   # quadro, distancia, hipoteses empatadas, saidas distintas

# ===== NIVEL A: 189 quadros, 196 bits =====
1079631 6   # quadro 26, dist 1, 275 empatadas, 3 saidas
1838581 5   # quadro 38, dist 1, 139 empatadas, 9 saidas
1870038 2   # quadro 39, dist 1, 513 empatadas, 15 saidas
2258917 4   # quadro 46, dist 1, 167 empatadas, 1 saidas
2347100 4   # quadro 48, dist 1, 353 empatadas, 5 saidas
3676679 6   # quadro 83, dist 1, 88 empatadas, 7 saidas
3985034 1   # quadro 88, dist 1, 356 empatadas, 6 saidas
4222503 4   # quadro 98, dist 1, 391 empatadas, 12 saidas
4610609 5   # quadro 106, dist 1, 470 empatadas, 11 saidas
5693924 0   # quadro 141, dist 1, 403 empatadas, 8 saidas
5693925 5   # quadro 141, dist 1, 403 empatadas, 8 saidas
6093580 1   # quadro 155, dist 1, 346 empatadas, 6 saidas
6578908 5   # quadro 167, dist 0, 126 empatadas, 10 saidas
6673737 5   # quadro 170, dist 0, 435 empatadas, 12 saidas
6775896 0   # quadro 176, dist 1, 428 empatadas, 14 saidas
6983501 4   # quadro 182, dist 0, 269 empatadas, 10 saidas
8445461 2   # quadro 218, dist 1, 472 empatadas, 14 saidas
9181295 2   # quadro 250, dist 0, 435 empatadas, 12 saidas
9279661 5   # quadro 255, dist 1, 486 empatadas, 14 saidas
9482106 0   # quadro 262, dist 1, 108 empatadas, 1 saidas
10317954 0   # quadro 288, dist 0, 407 empatadas, 10 saidas
11492996 4   # quadro 319, dist 1, 440 empatadas, 13 saidas
11884234 5   # quadro 333, dist 1, 322 empatadas, 4 saidas
12086729 6   # quadro 341, dist 1, 279 empatadas, 3 saidas
12733512 6   # quadro 361, dist 1, 381 empatadas, 8 saidas
13804391 0   # quadro 388, dist 1, 120 empatadas, 9 saidas
