# alvos.txt -- todo quadro que NAO esta inteiro, classificado por onde esta o dano.
# Gerado em 2026-09-18 sobre o patches.txt de hoje (output/reparado.mp4).
#
# "Inteiro" aqui exige TRES coisas: o `mapa` chega a 8160, o ffmpeg emite imagem
# para o pacote (ffprobe -show_entries frame=pkt_pos), e o cabecalho do slice
# passa na validacao sintatica do `-bsf:v trace_headers`. 2.006 quadros passam;
# estes 1.439 nao.
#
# CLASSES
#   A_cabecalho   cabecalho do slice invalido pela norma (435). E o caso do frame
#                 11: alinhamento CABAC em 0, reordenacao com codigo proibido,
#                 deblocking/cabac_init fora da faixa. O ffmpeg rejeita a maioria
#                 sem imagem nenhuma, e o `mapa` os contava como inteiros.
#   B_inicio      cabecalho valido, para antes de 512 bytes do payload (407)
#   C_meio        para entre 512 B e 2 KB (57)
#   D_tarde       para depois de 2 KB (517)
#   ?_sem_imagem  nao emite imagem e o trace_headers nao acusa nada (23)
#
# colunas: quadro tipo tamanho mb_parada(mapa) consumo(bytes,-1=sem erro de MB)
#          emite_imagem(s/n) trocas_nos_5_primeiros_bytes campo_invalido classe
11 P 2832 15 54 s 1 cabac_alignment_one_bit A_cabecalho
13 P 36532 6600 31484 s 0 - D_tarde
14 B 4114 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
15 B 85300 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
16 B 18008 2156 3290 s 0 - D_tarde
17 ? 127660 8160 -1 n 1 cabac_init_idc A_cabecalho
18 B 13923 3456 6054 s 0 - D_tarde
19 P 143870 1 64 n 1 - B_inicio
21 P 143110 8160 -1 n 0 - ?_sem_imagem
22 B 14906 8160 -1 n 0 - ?_sem_imagem
23 P 129550 3947 55352 n 0 - D_tarde
24 B 8209 8160 -1 n 0 - ?_sem_imagem
25 P 156380 1680 15693 n 0 - D_tarde
26 B 16982 8160 -1 n 0 - ?_sem_imagem
27 B 45239 1155 1203 n 0 - C_meio
28 B 39057 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
30 P 69268 1 33 s 0 - B_inicio
36 B 32296 5638 17775 s 0 - D_tarde
37 B 29448 8160 -1 s 5 cabac_alignment_one_bit A_cabecalho
38 P 86024 1340 4837 s 0 - D_tarde
39 B 31457 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
40 B 28620 6463 21580 s 0 - D_tarde
44 B 42467 2296 9167 s 0 - D_tarde
48 B 46902 512 20 s 1 - B_inicio
49 B 26658 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
51 B 27955 6152 19999 s 0 - D_tarde
52 B 29210 10 19 s 0 - B_inicio
53 B 25713 4318 11092 s 0 - D_tarde
54 P 97542 1 56 s 0 - B_inicio
55 B 22406 792 110 s 2 - B_inicio
58 IDR 223610 1440 13259 s 0 - D_tarde
60 B 3035 7217 2864 s 0 - D_tarde
62 B 3192 8160 -1 n 1 num_ref_idx_l1_active_minus1 A_cabecalho
63 B 42242 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
64 B 5793 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
66 B 6566 16 48 s 1 - B_inicio
69 B 15104 2995 3954 s 0 - D_tarde
71 P 72069 2142 11665 s 0 - D_tarde
72 B 19345 935 23 s 2 - B_inicio
73 B 19255 6967 17683 s 0 - D_tarde
74 B 21922 41 54 s 1 - B_inicio
75 P 78587 3351 25706 s 0 - D_tarde
79 P 80592 17 273 s 0 cabac_alignment_one_bit A_cabecalho
80 B 18447 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
83 P 93844 2 19 s 0 - B_inicio
87 IDR 194477 2160 33000 s 0 - D_tarde
92 P 68335 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
96 P 64320 345 63 s 0 - B_inicio
99 IDR 155407 2 51 s 3 - B_inicio
101 P 54499 969 139 s 0 - B_inicio
102 B 6649 951 39 s 0 - B_inicio
103 B 11311 970 57 s 1 - B_inicio
105 P 58476 2748 16682 s 0 - D_tarde
106 B 8565 5065 5962 s 0 - D_tarde
107 B 9390 53 291 s 0 - B_inicio
108 B 7643 930 36 s 1 - B_inicio
109 P 58019 4200 29930 s 0 - D_tarde
110 B 9330 6372 7275 s 0 - D_tarde
111 B 9858 964 27 s 0 - B_inicio
113 P 59840 4058 29330 s 0 - D_tarde
116 B 10176 849 59 s 0 - B_inicio
119 B 11794 5590 8356 s 0 - D_tarde
120 B 10393 1015 113 s 1 - B_inicio
125 P 73067 3480 29728 s 0 - D_tarde
127 B 13862 705 27 n 1 - B_inicio
133 P 63971 964 119 s 0 - B_inicio
136 B 10732 970 37 s 1 - B_inicio
137 P 66799 8160 -1 n 1 luma_log2_weight_denom A_cabecalho
139 B 13335 2507 3249 s 0 - D_tarde
142 B 10985 488 21 s 0 - B_inicio
143 B 13004 987 53 s 2 - B_inicio
148 B 16575 987 40 s 1 - B_inicio
153 P 74795 962 86 s 1 - B_inicio
155 B 13337 2060 2682 s 0 - D_tarde
156 B 12799 978 33 s 1 - B_inicio
157 IDR 230209 1680 25589 s 0 - D_tarde
162 P 61850 1389 4907 s 0 - D_tarde
168 B 8670 961 39 s 0 - B_inicio
169 B 7612 8160 -1 n 0 cabac_init_idc A_cabecalho
172 B 8396 970 34 s 0 - B_inicio
174 P 63012 3053 25002 s 0 - D_tarde
177 B 6777 1015 91 s 0 - B_inicio
178 P 76698 7 179 s 0 - B_inicio
182 P 66124 1035 1158 s 0 - C_meio
183 B 12931 8160 -1 n 0 slice_qp_delta A_cabecalho
186 IDR 231239 5 42 s 0 - B_inicio
190 B 5200 570 61 s 4 - B_inicio
191 P 72106 3192 28763 s 0 - D_tarde
192 B 8051 5043 5707 s 0 - D_tarde
194 B 9577 8160 -1 n 0 abs_diff_pic_num_minus1 A_cabecalho
196 B 9989 3315 4376 s 0 - D_tarde
197 B 12381 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
199 P 100447 2160 20746 s 0 - D_tarde
201 P 64981 1 43 s 1 cabac_alignment_one_bit A_cabecalho
205 P 82270 1752 10933 s 0 - D_tarde
208 B 11491 2166 2553 s 0 - D_tarde
209 P 83436 983 68 s 1 - B_inicio
212 B 18684 981 80 s 1 - B_inicio
213 P 82799 2760 27533 s 0 - D_tarde
214 B 20439 255 21 s 2 - B_inicio
219 IDR 36139 2 31088 s 0 - D_tarde
223 B 11040 517 22 s 0 - B_inicio
224 P 29142 1034 32 s 1 cabac_alignment_one_bit A_cabecalho
225 B 8807 5112 5545 s 0 - D_tarde
226 B 11075 326 19 s 0 - B_inicio
227 B 9002 1035 68 s 2 cabac_alignment_one_bit A_cabecalho
228 P 36204 5520 26232 s 0 - D_tarde
229 B 9709 1051 106 s 1 - B_inicio
232 P 30799 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
234 P 42412 1680 6607 s 0 - D_tarde
